id,city,zipCode,communalCode,cantonCode,latitude,longitude,regionCode
9845bab7-56d2-4f6e-91b6-def9ab6a7e0f,"Berg am Irchel",8415,23,ZH,47.57,8.598,ZH08
16814a29-d7a4-4b28-b73a-ade170804773,Gräslikon,8415,23,ZH,47.557,8.605,ZH08
2a15f111-f410-4d36-976f-d7834388647b,"Buch am Irchel",8414,24,ZH,47.549,8.623,ZH08
70ff17d3-6a97-4da4-a4bd-e838f2228775,Dachsen,8447,25,ZH,47.667,8.614,ZH08
845b08c7-fa86-4f14-bed3-0daec4364120,Dorf,8458,26,ZH,47.572,8.648,ZH08
ad93acac-9cbd-45b2-a17e-f3ebfaa0a64b,Feuerthalen,8245,27,ZH,47.691,8.641,ZH08
1b7ceda9-5b5a-42ee-9c98-6a9f0093c9f5,Langwiesen,8246,27,ZH,47.684,8.663,ZH08
27acc854-b622-4123-bfa7-06f395c725ef,Flaach,8416,28,ZH,47.573,8.603,ZH08
90230020-3428-4787-8ed4-bf7cc90a4d21,Flurlingen,8247,29,ZH,47.684,8.628,ZH08
5615b63c-0cab-4d77-ac57-4dffee327895,Andelfingen,8450,30,ZH,47.595,8.679,ZH08
344f7842-20ab-4bf5-9835-3dbebd2457a5,Henggart,8444,31,ZH,47.563,8.683,ZH08
4e57827a-9d15-4af5-9139-39c4bf750e92,Humlikon,8457,32,ZH,47.576,8.67,ZH08
4894b686-cd05-4369-b388-5be32378179b,Kleinandelfingen,8451,33,ZH,47.6,8.683,ZH08
67898ed6-60e9-45b2-8c7a-03888d607e11,Alten,8453,33,ZH,47.599,8.647,ZH08
2c1ef243-48f3-445d-a72d-69b6f1ffe404,Oerlingen,8461,33,ZH,47.624,8.676,ZH08
c6537a73-b900-45fa-ad28-cf64d3f1ef96,Nohl,8212,34,ZH,47.67,8.608,ZH08
d1beb8b5-faa1-45b3-879c-7deb8469eebf,Uhwiesen,8248,34,ZH,47.671,8.634,ZH08
5f30dcf8-7aa5-4e4f-8004-db39b516b360,Marthalen,8460,35,ZH,47.625,8.648,ZH08
cf1aaac0-5f56-4217-854b-4d08630ab3c7,"Ellikon am Rhein",8464,35,ZH,47.605,8.597,ZH08
d767f076-6424-46d2-8903-6261040fa974,Oberstammheim,8477,36,ZH,47.634,8.801,ZH08
c91a696d-e1c8-4b51-b5f5-f4409737eeba,Ossingen,8475,37,ZH,47.61,8.726,ZH08
e86a8129-c309-4a99-86c7-691ef686e3ef,Rheinau,8462,38,ZH,47.644,8.603,ZH08
bad723b4-8d75-4b79-afd8-9ae3fed8cd7f,"Thalheim an der Thur",8478,39,ZH,47.579,8.754,ZH08
fdae4040-e9d1-4abe-bcd8-d6796d4664c3,Rudolfingen,8465,40,ZH,47.64,8.673,ZH08
8c4bceaf-ecd0-4c37-b742-562474b86a24,Wildensbuch,8465,40,ZH,47.651,8.679,ZH08
e550b9e3-d990-4471-81dc-c1a7ac370840,Trüllikon,8466,40,ZH,47.637,8.692,ZH08
706a7c39-3d45-4af8-a2e4-d4cff510b3f2,Truttikon,8467,41,ZH,47.63,8.727,ZH08
2f901706-250d-4d02-8535-33f652f975e3,Unterstammheim,8476,42,ZH,47.641,8.792,ZH08
5fa556fe-9503-4dd7-b44b-231a7db78de6,Volken,8459,43,ZH,47.573,8.629,ZH08
712f6f06-ecb5-42b0-a73c-d546202d35e2,Waltalingen,8468,44,ZH,47.622,8.773,ZH08
c193df56-075f-4a73-b433-0b3eac6f69ff,Guntalingen,8468,44,ZH,47.634,8.766,ZH08
4e4888d1-79e4-45d4-a5d2-f9724c09451c,Bachenbülach,8184,51,ZH,47.504,8.546,ZH07
e31c5892-55f9-46a4-99e9-39365bbab13c,Bassersdorf,8303,52,ZH,47.444,8.628,ZH07
82379eb9-3919-48fe-a946-2eadbd027ea4,Bülach,8180,53,ZH,47.517,8.541,ZH07
32964c91-3ff4-4f3d-9990-fb4c91a26b71,Dietlikon,8305,54,ZH,47.426,8.616,ZH07
19036d2b-2cf9-4d3f-9d0d-964005d00eea,Eglisau,8193,55,ZH,47.575,8.526,ZH07
84e2c490-4c37-4ef2-9020-ef35d3632bf9,Embrach,8424,56,ZH,47.501,8.595,ZH07
dde889f0-87d9-41c4-ae3c-6da0a704cf62,Freienstein,8427,57,ZH,47.533,8.591,ZH07
3a24f43e-912b-424c-8d21-e27673a7131b,"Teufen ZH",8428,57,ZH,47.55,8.567,ZH07
7bb0e123-01f7-4675-be6b-1c03aaf27dc7,Glattfelden,8192,58,ZH,47.559,8.499,ZH07
31296617-640b-47e3-8339-73a84613a342,Zweidlen,8192,58,ZH,47.561,8.467,ZH07
cb7b62cd-e1a7-4f47-8634-3e9df9281030,Hochfelden,8182,59,ZH,47.523,8.515,ZH07
bcab6cdd-6f15-40ea-aafa-5db6ba3bfee9,Höri,8181,60,ZH,47.507,8.508,ZH07
a1686103-8e7a-4a4b-a20e-64e2bc003473,Hüntwangen,8194,61,ZH,47.595,8.493,ZH07
3c24fb70-9c52-46c5-81dc-19f968c27b3a,Kloten,8302,62,ZH,47.453,8.584,ZH07
61da2050-685b-4c0e-a61e-040b9725fbaf,Lufingen,8426,63,ZH,47.49,8.594,ZH07
11bb10d1-192a-4b12-acc5-d8f510f1c064,Nürensdorf,8309,64,ZH,47.448,8.649,ZH07
e8d57c27-4bbc-4924-a31f-0141b5a3a4cb,Oberembrach,8425,65,ZH,47.487,8.617,ZH07
21de0fc1-193b-4e3a-9530-4e1943537e28,Glattbrugg,8152,66,ZH,47.434,8.566,ZH07
ba9a0832-ae3e-4dc3-8b16-8b5a708374c3,Opfikon,8152,66,ZH,47.431,8.582,ZH07
61d5681d-a6e1-4d17-979e-1220c79486e7,"Glattpark (Opfikon)",8152,66,ZH,47.424,8.563,ZH07
3b753ecf-42aa-407b-958a-21846cea7d2f,Rafz,8197,67,ZH,47.614,8.535,ZH07
95817cdb-7f23-433c-ba8c-984e201496a8,Rorbas,8427,68,ZH,47.529,8.578,ZH07
908fbb51-a119-4ca5-a1fd-64ba285f0faf,Wallisellen,8304,69,ZH,47.413,8.592,ZH07
19da2314-581b-453d-84e2-6f463cd6d32e,Wasterkingen,8195,70,ZH,47.59,8.473,ZH07
5b60c4b2-8eca-491c-94e6-9709eea7fcdb,"Wil ZH",8196,71,ZH,47.603,8.503,ZH07
275405e4-7820-45e2-b5c8-0813570f9329,Winkel,8185,72,ZH,47.493,8.554,ZH07
92f33c21-73c8-4f03-ab5d-ad6e6a171779,Bachs,8164,81,ZH,47.525,8.439,ZH06
f9063892-b4b5-4e91-97a9-673cd378ed9b,Boppelsen,8113,82,ZH,47.471,8.403,ZH06
67af00a7-8961-4917-9ec6-36e6e291383b,"Buchs ZH",8107,83,ZH,47.459,8.438,ZH06
10f30aae-5e72-4877-b4f7-1209d853f09f,Dällikon,8108,84,ZH,47.44,8.439,ZH06
5b599cf9-49b4-42d1-acff-cdb1de59a39d,"Dänikon ZH",8114,85,ZH,47.446,8.405,ZH06
f750c3fd-001a-4f72-a17a-8bc593e4a134,Dielsdorf,8157,86,ZH,47.476,8.448,ZH06
5d2e7e80-0e86-475d-b1dc-503e8143261d,Hüttikon,8115,87,ZH,47.446,8.387,ZH06
c3d5f8b8-c821-4491-a8b7-ea0cfc512dd5,Neerach,8173,88,ZH,47.513,8.475,ZH06
000f4ea9-828f-40d1-a10d-616cd9652a38,"Niederglatt ZH",8172,89,ZH,47.487,8.504,ZH06
3ec105b3-9c27-4b7f-8129-fb4a09d9413c,Niederhasli,8155,90,ZH,47.482,8.484,ZH06
1212880e-f9a1-4678-a1f3-4c09edd1cbae,Nassenwil,8155,90,ZH,47.466,8.471,ZH06
cb4a47f3-4c3c-44f2-a9e1-15594e0dd467,Oberhasli,8156,90,ZH,47.465,8.498,ZH06
7f1fc708-7bef-412e-bb4e-0c53a82c7923,Niederweningen,8166,91,ZH,47.504,8.369,ZH06
bc08c2d3-cbe9-4e97-834d-86420a2f9860,"Oberglatt ZH",8154,92,ZH,47.477,8.521,ZH06
c4217759-2c16-48ae-a400-34502721199a,Oberweningen,8165,93,ZH,47.504,8.407,ZH06
622170e7-d62d-4195-95e7-e7175f9babab,Otelfingen,8112,94,ZH,47.462,8.387,ZH06
838a99a5-e58e-44d9-b018-ec3c42d3d986,Regensberg,8158,95,ZH,47.483,8.439,ZH06
ab48858f-24fc-4add-b1d5-721578fb84f1,Regensdorf,8105,96,ZH,47.432,8.466,ZH06
8baa3ae4-04f4-46e0-94f9-7d4e06ba1367,Watt,8105,96,ZH,47.443,8.481,ZH06
726b181c-55a0-4781-ba0e-81bb672decef,"Adlikon b. Regensdorf",8106,96,ZH,47.45,8.464,ZH06
